speaker,date,quote,source,url
Sam Altman,2015-02-25,"Development of superhuman machine intelligence (SMI) is probably the greatest threat to the continued existence of humanity.",Sam Altman blog,https://blog.samaltman.com/machine-intelligence-part-1
Dario Amodei,2023-10-06,"My chance that something goes really quite catastrophically wrong on the scale of human civilization might be somewhere between 10 and 25 percent.",The Logan Bartlett Show,https://www.theloganbartlettshow.com/archive/ep-82-dario-amodeis-ai-predictions-through-2030
